group,subject,session,task,input_file,source,target,source_label,target_label,value
HC,FC001,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC001_ses-2_task-renewal_fearROIs_bin.dat,1,2,B1,B2,0.05
HC,FC001,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC001_ses-2_task-renewal_fearROIs_bin.dat,1,3,B1,B3,0.060000000000000005
HC,FC001,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC001_ses-2_task-renewal_fearROIs_bin.dat,1,4,B1,B4,0.03
HC,FC001,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC001_ses-2_task-renewal_fearROIs_bin.dat,2,1,B2,B1,0.020000000000000004
HC,FC001,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC001_ses-2_task-renewal_fearROIs_bin.dat,2,3,B2,B3,0.06
HC,FC001,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC001_ses-2_task-renewal_fearROIs_bin.dat,2,4,B2,B4,0.1
HC,FC001,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC001_ses-2_task-renewal_fearROIs_bin.dat,3,1,B3,B1,0.09
HC,FC001,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC001_ses-2_task-renewal_fearROIs_bin.dat,3,2,B3,B2,0.09000000000000001
HC,FC001,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC001_ses-2_task-renewal_fearROIs_bin.dat,3,4,B3,B4,0.03
HC,FC001,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC001_ses-2_task-renewal_fearROIs_bin.dat,4,1,B4,B1,0.04000000000000001
HC,FC001,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC001_ses-2_task-renewal_fearROIs_bin.dat,4,2,B4,B2,0.05
HC,FC001,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC001_ses-2_task-renewal_fearROIs_bin.dat,4,3,B4,B3,0.07
HC,FC002,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC002_ses-2_task-renewal_fearROIs_bin.dat,1,2,B1,B2,0.07258
HC,FC002,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC002_ses-2_task-renewal_fearROIs_bin.dat,1,3,B1,B3,0.048387
HC,FC002,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC002_ses-2_task-renewal_fearROIs_bin.dat,1,4,B1,B4,0.048386999999999986
HC,FC002,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC002_ses-2_task-renewal_fearROIs_bin.dat,2,1,B2,B1,0.040322
HC,FC002,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC002_ses-2_task-renewal_fearROIs_bin.dat,2,3,B2,B3,0.040322
HC,FC002,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC002_ses-2_task-renewal_fearROIs_bin.dat,2,4,B2,B4,0.04838699999999999
HC,FC002,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC002_ses-2_task-renewal_fearROIs_bin.dat,3,1,B3,B1,0.064516
HC,FC002,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC002_ses-2_task-renewal_fearROIs_bin.dat,3,2,B3,B2,0.032257999999999995
HC,FC002,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC002_ses-2_task-renewal_fearROIs_bin.dat,3,4,B3,B4,0.01612899999999999
HC,FC002,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC002_ses-2_task-renewal_fearROIs_bin.dat,4,1,B4,B1,0.064516
HC,FC002,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC002_ses-2_task-renewal_fearROIs_bin.dat,4,2,B4,B2,0.024193999999999993
HC,FC002,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC002_ses-2_task-renewal_fearROIs_bin.dat,4,3,B4,B3,0.040323
HC,FC003,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC003_ses-2_task-renewal_fearROIs_bin.dat,1,2,B1,B2,0.029410999999999993
HC,FC003,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC003_ses-2_task-renewal_fearROIs_bin.dat,1,3,B1,B3,0.058823
HC,FC003,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC003_ses-2_task-renewal_fearROIs_bin.dat,1,4,B1,B4,0.04902000000000001
HC,FC003,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC003_ses-2_task-renewal_fearROIs_bin.dat,2,1,B2,B1,0.029411
HC,FC003,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC003_ses-2_task-renewal_fearROIs_bin.dat,2,3,B2,B3,0.04902
HC,FC003,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC003_ses-2_task-renewal_fearROIs_bin.dat,2,4,B2,B4,0.029412
HC,FC003,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC003_ses-2_task-renewal_fearROIs_bin.dat,3,1,B3,B1,0.049019
HC,FC003,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC003_ses-2_task-renewal_fearROIs_bin.dat,3,2,B3,B2,0.04902
HC,FC003,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC003_ses-2_task-renewal_fearROIs_bin.dat,3,4,B3,B4,0.04901899999999999
HC,FC003,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC003_ses-2_task-renewal_fearROIs_bin.dat,4,1,B4,B1,0.058823
HC,FC003,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC003_ses-2_task-renewal_fearROIs_bin.dat,4,2,B4,B2,0.04901899999999999
HC,FC003,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC003_ses-2_task-renewal_fearROIs_bin.dat,4,3,B4,B3,0.029411999999999994
HC,FC004,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC004_ses-2_task-renewal_fearROIs_bin.dat,1,2,B1,B2,0.047170000000000004
HC,FC004,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC004_ses-2_task-renewal_fearROIs_bin.dat,1,3,B1,B3,0.06603699999999998
HC,FC004,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC004_ses-2_task-renewal_fearROIs_bin.dat,1,4,B1,B4,0.09433899999999999
HC,FC004,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC004_ses-2_task-renewal_fearROIs_bin.dat,2,1,B2,B1,0.07547200000000001
HC,FC004,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC004_ses-2_task-renewal_fearROIs_bin.dat,2,3,B2,B3,0.06603800000000001
HC,FC004,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC004_ses-2_task-renewal_fearROIs_bin.dat,2,4,B2,B4,0.037736000000000006
HC,FC004,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC004_ses-2_task-renewal_fearROIs_bin.dat,3,1,B3,B1,0.04716999999999999
HC,FC004,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC004_ses-2_task-renewal_fearROIs_bin.dat,3,2,B3,B2,0.07547200000000001
HC,FC004,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC004_ses-2_task-renewal_fearROIs_bin.dat,3,4,B3,B4,0.09433899999999999
HC,FC004,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC004_ses-2_task-renewal_fearROIs_bin.dat,4,1,B4,B1,0.084905
HC,FC004,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC004_ses-2_task-renewal_fearROIs_bin.dat,4,2,B4,B2,0.05660400000000001
HC,FC004,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC004_ses-2_task-renewal_fearROIs_bin.dat,4,3,B4,B3,0.084905
HC,FC005,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC005_ses-2_task-renewal_fearROIs_bin.dat,1,2,B1,B2,0.03125
HC,FC005,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC005_ses-2_task-renewal_fearROIs_bin.dat,1,3,B1,B3,0.054688
HC,FC005,2,renewal,D:\Thesis Masters\thesis-runs\ELA_run_5ROI\merge_renewal_bin_5ROI\sub-FC005_ses-2_task-renewal_fearROIs_bin.dat,1,4,B1,B4,0.046875
